id,code,name,info,location_address,location_number,location_city,location_localita,location_province,location_destination,location_cap,location_lat,location_lng,contacts_telephone,contacts_email,contacts_website,created_at,updated_at
35554,aree_archeo,"Musei Civici di Palazzo Farnese",,"Piazza Cittadella",29,Piacenza,,Piacenza,Emilia,,45.05545,9.694181,"+ 39 0523 492658",info.farnese@comune.piacenza.it,https://www.palazzofarnese.piacenza.it/en?set_language=en,"2022-11-24 17:32:30","2023-02-03 17:17:49"
35555,aree_archeo,"Antiquarium ?Santa Margherita?",,"Via Sant Eufemia",12,Piacenza,,Piacenza,Emilia,,45.05478,9.688771,"+39 0523 311111",info@lafondazione.com,https://visitpiacenza.it/en/art-and-culture/santa-margherita-antiquarium/,"2022-11-24 17:32:30","2023-02-03 17:18:37"
35556,aree_archeo,"Museo dell?Abbazia di San Colombano",,"Piazza Santa Fara",5,Bobbio,,Piacenza,Emilia,,44.76816,9.385612,"+ 39 0523 962815",iat@comune.bobbio.pc.it,https://visitpiacenza.it/en/art-and-culture/s-colombano-abbey-museum/,"2022-11-24 17:32:30","2023-02-03 17:19:15"
35557,aree_archeo,"Area Archeologica e Antiquarium di Veleia",,"Strada Provinciale",14,"Lugagnano Val d'Arda",,Piacenza,Emilia,,44.82422,9.828296,"+39 0523 807113",danielapatrizia.locatelli@beniculturali.it,http://musei.beniculturali.it/en/museums?mid=4262&nome=area-archeologica-e-antiquarium-di-veleia,"2022-11-24 17:32:30","2023-02-03 17:20:28"
35558,aree_archeo,"Museo Archeologico della Val Tidone",,"Piazza Umberto I",,"Pianello Val Tidone",,Piacenza,Emilia,,44.948301491594,9.4056094110453,"+39 0523 1822950 (segreteria attiva)",info@museoarcheologicovaltidone.it,https://visitpiacenza.it/en/art-and-culture/tidone-valley-archaeological-museum/,"2022-11-24 17:32:30","2023-02-03 17:21:36"
35559,aree_archeo,"Museo Geologico ?Giuseppe Cortesi?",,"Via Sforza Caolzio",57,Castell'Arquato,,Piacenza,Emilia,,44.85156,9.867911,"+ 39 0523 803215",iatcastellarquato@gmail.com,https://www.museogeologico.it/the-museum,"2022-11-24 17:32:30","2022-11-24 17:32:30"
35560,aree_archeo,"Villaggio Neolitico di Travo: Parco Archeologico",,"Via del Mulino",22,Travo,,Piacenza,Emilia,,44.86016,9.543685,"+39 340 1939057",info@parcoarcheologicoditravo.it,https://visitpiacenza.it/en/art-and-culture/archaeological-park-villaggio-neolitico-di-travo/,"2022-11-24 17:32:30","2023-02-03 17:20:56"
35561,aree_archeo,"Museo Archeologico Nazionale di Parma",,"Piazza della Pilotta",9/a,Parma,,Parma,Emilia,,44.8047066,10.3263326,"+39 0521 220400",cm-pil@beniculturali.it,http://www.complessopilotta.it,"2022-11-24 17:32:30","2024-04-04 06:22:20"
35562,aree_archeo,"Palazzo dei Musei",,"Via Spallanzani",1,"Reggio nell'Emilia",,"Reggio nell'Emilia",Emilia,,44.70024,10.63213,"+ 39 0522 456816",musei@comune.re.it,https://www.musei.re.it/en/collections/palazzo-dei-musei-museums-palace/,"2022-11-24 17:32:30","2023-02-10 11:37:05"
35563,aree_archeo,"Area Archeologica Museo della Terramara ?Santa Rosa?",,"Via Parma",1,Poviglio,,"Reggio nell'Emilia",Emilia,,44.84128,10.53913,"+ 39 0522 960426",museoterramara@comune.poviglio.re.it,https://www.facebook.com/museoterramarasrosa/,"2022-11-24 17:32:30","2023-02-10 11:37:54"
