id,code,name,info,location_address,location_number,location_city,location_localita,location_province,location_destination,location_cap,location_lat,location_lng,contacts_telephone,contacts_website,created_at,updated_at
35753,aree_sosta_camper,"Area sosta camper  ",,"Piazzale Albertelli zona centro sportivo ",,"Ponte dell?Olio",,Piacenza,Emilia,29028,44.8668288,9.63862,"+39 ",https://www.incampercongusto.it/area-sosta-camper-ponte-dellolio/,"2022-11-24 17:32:41","2023-01-24 09:41:33"
35754,aree_sosta_camper,"Area sosta camper  ",,"Parcheggio Rio delle Noci ",,Vernasca,,Piacenza,Emilia,29010,44.8170257,9.9004169,"+39 ",https://www.incampercongusto.it/area-sosta-camper-di-vigoleno/,"2022-11-24 17:32:41","2023-01-24 09:25:06"
35755,aree_sosta_camper,"Area sosta camper  ",,"Stra della Ca' Matta",,Vigolzone,,Piacenza,Emilia,29020,44.93215,9.67074,"+39 ",https://www.incampercongusto.it/area-sosta-camper-grazzano-visconti/,"2022-11-24 17:32:41","2023-01-24 09:31:24"
35756,aree_sosta_camper,"Area sosta camper  ",,"Via Roma ",,Vernasca,,Piacenza,Emilia,29010,44.7965373,9.828604,"+39 ",https://www.incampercongusto.it/area-sosta-camper-di-vernasca/,"2022-11-24 17:32:41","2023-01-24 09:23:23"
35757,aree_sosta_camper,"Area sosta camper  ",,"Via Don Renato Mezzadri ",,"Monticelli d?Ongina",,Piacenza,Emilia,29010,45.0914611,9.929659,"+39 ",https://www.incampercongusto.it/area-sosta-camper-monticelli-dongina/,"2022-11-24 17:32:41","2023-01-24 09:11:56"
35758,aree_sosta_camper,"Area sosta camper  ",,"Via Dante Alighieri ",,Gropparello,,Piacenza,Emilia,29025,44.8349758,9.7309129,"+39 ",https://www.incampercongusto.it/area-sosta-camper-gropparello/,"2022-11-24 17:32:41","2023-01-18 11:06:44"
35759,aree_sosta_camper,"Area sosta camper  ",,"Via Genova",,Bobbio,,Piacenza,Emilia,29022,44.7615268,9.3825768,"+39 ",https://www.incampercongusto.it/area-sosta-camper-bobbio/,"2022-11-24 17:32:41","2023-01-18 10:43:42"
35760,aree_sosta_camper,"Area sosta camper  ",,"Piazzale di Cima ",,Castell?Arquato,,Piacenza,Emilia,29014,44.8494964,9.8630985,"+39 ",https://www.incampercongusto.it/area-sosta-camper-castellarquato/,"2022-11-24 17:32:41","2023-01-18 10:33:36"
35761,aree_sosta_camper,"Area sosta camper  ",,"Viale Castagnetti ",,"Pianello Val Tidone",,Piacenza,Emilia,29010,44.9461484,9.4044769,"+39 ",https://www.incampercongusto.it/area-sosta-camper-pianello-val-tidone/,"2022-11-24 17:32:41","2023-01-18 10:22:40"
35762,aree_sosta_camper,"Area sosta camper  ",,"Via Sant'Ambrogio",22,Piacenza,,Piacenza,Emilia,29121,45.056143,9.701947,"346 084952 - 346 0849521",https://visitpiacenza.it/dove-dormire/area-sosta-camper-attrezzata/,"2022-11-24 17:32:41","2023-01-18 09:52:11"
35763,aree_sosta_camper,"Area sosta camper ",,"Via Trecoste",,"Monchio delle Corti",,Parma,Emilia,43010,44.412315,10.123327,"+39 ",https://www.incampercongusto.it/area-sosta-camper-monchio-corti/,"2022-11-24 17:32:41","2023-01-29 10:09:50"
35764,aree_sosta_camper,"Area sosta camper ",,"Largo 24 Agosto 1942 ",21/a,Parma,,Parma,Emilia,43100,44.8080219,10.2843501,"+39 ","https://www.incampercongusto.it/area-sosta-camper-parma/ http://www.areasostacamperparma.it","2022-11-24 17:32:41","2023-01-28 16:36:17"
35765,aree_sosta_camper,"Area sosta camper  ",,"Località Gotra",63/a,Albareto,,Parma,Emilia,43051,44.468983,9.732022,"+39 ","https://www.incampercongusto.it/area-sosta-camper-albereto-appennino/ http://www.areatarolli.it","2022-11-24 17:32:41","2023-01-29 09:58:39"
35766,aree_sosta_camper,"Area sosta camper ",,"Via XXIV Maggio ",,Fontanellato,,Parma,Emilia,43012,44.8777134,10.1693173,"+39 ",https://www.incampercongusto.it/area-sosta-camper-fontanellato/,"2022-11-24 17:32:41","2023-01-28 17:01:26"
35767,aree_sosta_camper,"Area sosta camper ",,"Via San Francesco di Sales",,Berceto,,Parma,Emilia,43042,44.510433,9.9877643,"+39 ",https://www.incampercongusto.it/area-sosta-camper-berceto/,"2022-11-24 17:32:41","2023-01-28 17:35:35"
35768,aree_sosta_camper,"Area camper ",,"Via Don Giuseppe Beotti, loc. Saliceto ",,Bardi,,Parma,Emilia,43032,44.6373054,9.747973,"+39 ",https://www.incampercongusto.it/area-camper-di-bardi/,"2022-11-24 17:32:41","2023-02-01 10:24:08"
35769,aree_sosta_camper,"Area camper ",,"Viale delle Esposizioni ",,Parma,,Parma,Emilia,43122,44.8412494,10.3221207,"+39 ",https://www.incampercongusto.it/area-camper-parma-fiere/,"2022-11-24 17:32:42","2022-11-24 17:32:42"
35770,aree_sosta_camper,"Area camper ",,"Via Giacomo Matteotti ",,Soragna,,Parma,Emilia,43019,44.9307166,10.1262161,"+39 ",https://www.incampercongusto.it/area-camper-soragna/,"2022-11-24 17:32:42","2023-02-02 11:30:24"
35771,aree_sosta_camper,"Area sosta camper ",,"Viale Martiri della Libertà ",,Bore,,Parma,Emilia,43030,44.7194588,9.7932897,"+39 0525 79137",https://www.incampercongusto.it/area-sosta-camper-bore/,"2022-11-24 17:32:42","2022-11-24 17:32:42"
35772,aree_sosta_camper,"Area sosta camper",,"Via Renzo Martini ",,Busseto,,Parma,Emilia,43011,44.9843644,10.0381257,"+39 ","https://www.incampercongusto.it/area-sosta-camper-busseto/ http://www.bussetolive.com/it/ambiente-natura/camper/","2022-11-24 17:32:42","2023-01-28 16:49:54"
