id;code;name;info;location_address;location_number;location_city;location_localita;location_province;location_destination;location_cap;location_lat;location_lng;contacts_website;contacts_phone;contacts_email;created_at;updated_at
5734;parchi_avventura;"Parco Avventura Valtrebbia ";;"Lago Maiardà";;Coli;Fontana;Piacenza;Emilia;29020;44.75802;9.432249;;;info@parcoavventuravaltrebbia.it;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
5735;parchi_avventura;"Forestavventura ";;"Loc. Prato Spilla";;"Monchio delle Corti";"Prato Spilla – Stazione Sciistica";Parma;Emilia;43010;44.36143;10.10841;;;forestavventura.pratospilla@gmail.com;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
5736;parchi_avventura;Cerwood;;"Via delle Fonti Santa Lucia";;Ventasso;"Cervarezza Terme";"Reggio Emilia";Emilia;42036;44.39791;10.31899;;;info@cerwood.it;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
5737;parchi_avventura;"Adventure Park Cimone ";;"Via dell'Aeronautica";;Sestola;;Modena;"Bologna e Modena";41029;44.20883;10.72065;;;info@adventureparkcimone.it;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
5738;parchi_avventura;"Esploraria ";;"Via San Giacomo";;Zocca;Lame;Modena;"Bologna e Modena";41059;44.34109;11.01706;;;acanze@esploraria.info;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
5739;parchi_avventura;"Piane Avventura ";;"Via Giuseppe Verdi";;"Lama Mocogno";;Modena;"Bologna e Modena";41023;44.28565;10.66152;;;info@pianedimocogno.it;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
5740;parchi_avventura;"Parco Avventura Saltapicchio ";;"Loc Querceti";;Camugnano;"Bargi di Camugnano";Bologna;"Bologna e Modena";40032;44.12834;11.04351;;;;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
5741;parchi_avventura;"Triton’s Park Adventure ";;"Via S. Pietro";;Monghidoro;Piamaggio;Bologna;"Bologna e Modena";40063;44.18825;11.31913;;;tritonspark.lacarovana@gmail.com;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
5742;parchi_avventura;"Indiana Park ";;"Via Superga";;Bertinoro;"Fratta Terme";Forlì-Cesena;Romagna;47032;44.13731;12.09952;;;info@indianaparktermedellafratta.it;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
5743;parchi_avventura;"Skypark ";;"Via Greppa";;Novafeltria;Perticara;Rimini;Romagna;47863;43.91041;12.24519;;;info@skypark.it;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
5744;parchi_avventura;CerviAvventura;;"Via Carlo Forlanini";;Cervia;;Ravenna;Romagna;48015;44.27229;12.32749;;;cerviavventura@atlantide.net;"2021-02-10 00:05:49";"2021-02-10 00:05:49"
